company_name,rating,bio,salary,job,founded_in,field,other
Tata Projects,4.2,Engineering & Construction | Mumbai +284 other locations,22000.0,29.0,,Engineering & Construction,Mumbai +284 other locations
Coforge,3.2,IT Services & Consulting | Mumbai +104 other locations,48600.0,122.0,,IT Services & Consulting,Mumbai +104 other locations
FIS,3.8,FinTech | Mumbai +61 other locations,38700.0,108.0,,FinTech,Mumbai +61 other locations
Bajaj Life Insurance,3.9,Insurance | Mumbai +607 other locations,24000.0,77.0,,Insurance,Mumbai +607 other locations
L&T Technology Services,3.1,IT Services & Consulting | Mumbai +93 other locations,24000.0,77.0,,IT Services & Consulting,Mumbai +93 other locations
Cholamandalam Investment & Finance,3.8,Financial Services | Mumbai +840 other locations,24000.0,77.0,,Financial Services,Mumbai +840 other locations
IIFL Finance,4.0,NBFC | Mumbai +800 other locations,14100.0,67.0,1995 (31 yrs old),NBFC,Mumbai +800 other locations
Oracle,3.5,Software Product | Mumbai +56 other locations,62400.0,1100.0,1977 (49 yrs old),Software Product,Mumbai +56 other locations
Indian Army,4.7,Defence & Aerospace | Mumbai +364 other locations,9500.0,77.0,1895 (131 yrs old),Defence & Aerospace,Mumbai +364 other locations
Muthoot Finance,3.7,NBFC | Mumbai +784 other locations,13000.0,82.0,,NBFC,Mumbai +784 other locations
Omega Healthcare,3.8,BPO | Mumbai +69 other locations,26300.0,116.0,2003 (23 yrs old),BPO,Mumbai +69 other locations
JLL,4.1,Real Estate | Mumbai +85 other locations,24200.0,290.0,1999 (27 yrs old),Real Estate,Mumbai +85 other locations
eClerx,3.1,IT Services & Consulting | Mumbai +32 other locations,31700.0,236.0,2000 (26 yrs old),IT Services & Consulting,Mumbai +32 other locations
HCL Group,3.5,IT Services & Consulting | Mumbai +97 other locations,370000.0,165.0,,IT Services & Consulting,Mumbai +97 other locations
Piramal Finance,4.2,NBFC | Mumbai +424 other locations,12600.0,7.0,10k-50k,NBFC,Mumbai +424 other locations
Virtusa Consulting Services,3.7,IT Services & Consulting | Mumbai +55 other locations,56300.0,1300.0,1996 (30 yrs old),IT Services & Consulting,Mumbai +55 other locations
DMart,3.9,Retail | Mumbai +246 other locations,18300.0,181.0,2002 (24 yrs old),Retail,Mumbai +246 other locations
HSBC Group,3.9,Financial Services | Mumbai +63 other locations,42600.0,130.0,1865 (161 yrs old),Financial Services,Mumbai +63 other locations
Indiamart Intermesh,3.5,Internet | Mumbai +172 other locations,20400.0,525.0,1996 (30 yrs old),Internet,Mumbai +172 other locations
Udaan,3.9,Internet | Mumbai +368 other locations,15600.0,5.0,,Internet,Mumbai +368 other locations
SMFG India Credit,3.9,NBFC | Mumbai +592 other locations,11100.0,80.0,2007 (19 yrs old),NBFC,Mumbai +592 other locations
Aurobindo Pharma,4.0,Pharma | Mumbai +115 other locations,20700.0,23.0,1986 (40 yrs old),Pharma,Mumbai +115 other locations
Access Healthcare,3.7,BPO | Mumbai +64 other locations,28400.0,478.0,2011 (15 yrs old),BPO,Mumbai +64 other locations
Siemens,3.9,Industrial Automation | Mumbai +152 other locations,33500.0,141.0,,Industrial Automation,Mumbai +152 other locations
BigBasket,3.9,Internet | Mumbai +138 other locations,19100.0,100.0,,Internet,Mumbai +138 other locations
Manappuram Finance,3.9,NBFC | Mumbai +647 other locations,9000.0,7.0,1949 (77 yrs old),NBFC,Mumbai +647 other locations
Firstsource Solutions,3.5,BPO | Mumbai +74 other locations,24000.0,135.0,2001 (25 yrs old),BPO,Mumbai +74 other locations
Shapoorji Pallonji Group,4.1,Engineering & Construction | Mumbai +188 other locations,24000.0,77.0,,Engineering & Construction,Mumbai +188 other locations
Tata Capital,4.0,NBFC | Mumbai +438 other locations,15600.0,3100.0,2007 (19 yrs old),NBFC,Mumbai +438 other locations
GlobalLogic,3.5,IT Services & Consulting | Mumbai +60 other locations,40500.0,45.0,2000 (26 yrs old),IT Services & Consulting,Mumbai +60 other locations
ICICI Lombard General Insurance Company,3.5,Insurance | Mumbai +311 other locations,24000.0,77.0,,Insurance,Mumbai +311 other locations
Standard Chartered,3.6,Banking | Mumbai +68 other locations,42000.0,77.0,1853 (173 yrs old),Banking,Mumbai +68 other locations
Mahindra Finance,3.9,NBFC | Mumbai +730 other locations,12000.0,383.0,1991 (35 yrs old),NBFC,Mumbai +730 other locations
PolicyBazaar,3.7,Internet | Mumbai +149 other locations,17100.0,412.0,,Internet,Mumbai +149 other locations
Apollo Hospitals,4.1,Healthcare | Mumbai +229 other locations,16300.0,134.0,1983 (43 yrs old),Healthcare,Mumbai +229 other locations
Bosch Global Software Technologies,3.7,IT Services & Consulting | Mumbai +47 other locations,39900.0,13.0,1997 (29 yrs old),IT Services & Consulting,Mumbai +47 other locations
UST,3.7,IT Services & Consulting | Mumbai +50 other locations,39400.0,137.0,,IT Services & Consulting,Mumbai +50 other locations
Ashok Leyland,4.0,Automobile | Mumbai +255 other locations,18600.0,77.0,1948 (78 yrs old),Automobile,Mumbai +255 other locations
Citicorp,3.7,Financial Services | Mumbai +68 other locations,51800.0,77.0,1997 (29 yrs old),Financial Services,Mumbai +68 other locations
Swiggy,3.7,Internet | Mumbai +230 other locations,22800.0,273.0,2014 (12 yrs old),Internet,Mumbai +230 other locations
Hero MotoCorp,4.1,Automobile | Mumbai +364 other locations,15700.0,2.0,1984 (42 yrs old),Automobile,Mumbai +364 other locations
